"terms";"count";"prob"
"the";44357;0.0670424076441978
"and";22751;0.0343864962985131
"that";9907;0.0149737162687077
"for";9280;0.0140260509713947
"you";7073;0.0106903295819693
"not";6549;0.00989834135901552
"with";6364;0.00961872719633146
"was";5923;0.00895218748960893
"have";5235;0.00791232509000553
"are";5090;0.00769316804357749
"this";4780;0.0072246253925934
"but";4065;0.00614395443951719
"from";3519;0.00531871480262263
"will";3287;0.00496806352833776
"they";3242;0.00490004927254975
"said";2997;0.00452974943548168
"his";2990;0.00451916944013687
"all";2686;0.00405969535659119
"one";2588;0.00391157542176396
"about";2561;0.00387076686829115
"has";2552;0.00385716401713355
"what";2453;0.00370753265439992
"who";2323;0.00351104702656788
"out";2314;0.00349744417541028
"when";2279;0.00344454419868627
"just";2241;0.00338710993824306
"would";2230;0.00337048423127265
"had";2223;0.00335990423592785
"more";2201;0.00332665282198704
"your";2148;0.00324654714294783
"can";2119;0.00320271573366222
"their";2033;0.00307273293371179
"like";2024;0.00305913008255419
"there";1937;0.00292763585469737
"she";1935;0.00292461299888457
"her";1861;0.00281276733381094
"were";1785;0.00269789881292452
"time";1751;0.00264651026410691
"been";1747;0.00264046455248131
"some";1737;0.00262535027341731
"get";1663;0.00251350460834369
"our";1632;0.00246665034324528
"new";1579;0.00238654466420606
"how";1483;0.00224144758519163
"them";1477;0.00223237901775323
"which";1475;0.00222935616194043
"people";1356;0.0020494962410788
"now";1320;0.00199508483644839
"than";1315;0.00198752769691638
"did";1300;0.00196485627832038
"into";1248;0.00188626202718757
"also";1245;0.00188172774346836
"day";1236;0.00186812489231076
"know";1232;0.00186207918068516
"other";1213;0.00183336205046355
"good";1211;0.00183033919465075
"first";1204;0.00181975919930595
"after";1187;0.00179406492489715
"him";1154;0.00174418780398594
"because";1133;0.00171244781795153
"could";1093;0.00165199070169552
"last";1084;0.00163838785053792
"year";1084;0.00163838785053792
"only";1081;0.00163385356681872
"make";1078;0.00162931928309952
"over";1073;0.00162176214356751
"back";1071;0.00161873928775471
"then";1071;0.00161873928775471
"its";1047;0.00158246501800111
"two";1045;0.00157944216218831
"much";1022;0.0015446793203411
"think";1010;0.0015265421854643
"see";999;0.00150991647849389
"love";997;0.00150689362268109
"even";966;0.00146003935758268
"way";941;0.00142225365992268
"going";930;0.00140562795295227
"most";909;0.00137388796691787
"work";905;0.00136784225529226
"years";887;0.00134063655297706
"really";885;0.00133761369716426
"too";862;0.00130285085531705
"these";851;0.00128622514834665
"where";839;0.00126808801346985
"well";835;0.00126204230184424
"great";834;0.00126053087393784
"still";829;0.00125297373440584
"here";828;0.00125146230649944
"before";822;0.00124239373906104
"very";821;0.00124088231115464
"many";818;0.00123634802743544
"want";817;0.00123483659952904
"those";810;0.00122425660418424
"down";800;0.00120914232512023
"little";791;0.00119553947396263
"any";784;0.00118495947861783
"got";774;0.00116984519955383
"off";770;0.00116379948792823
"made";767;0.00115926520420902
"right";759;0.00114717378095782
"today";752;0.00113659378561302
"while";744;0.00112450236236182
"home";738;0.00111543379492342
"say";735;0.00111089951120422
"state";731;0.00110485379957861
"life";725;0.00109578523214021
"should";725;0.00109578523214021
"being";719;0.00108671666470181
"take";709;0.00107160238563781
"through";709;0.00107160238563781
"may";700;0.0010579995344802
"need";699;0.0010564881065738
"things";681;0.0010292824042586
"never";651;0.000983939567066591
"does";648;0.00097940528334739
"world";631;0.000953711008938585
"school";626;0.000946153869406583
"something";609;0.000920459594997778
"city";608;0.000918948167091378
"every";606;0.000915925311278577
"next";599;0.000905345315933775
"another";594;0.000897788176401774
"best";591;0.000893253892682573
"week";590;0.000891742464776173
"around";574;0.000867559618273768
"come";567;0.000856979622928966
"long";567;0.000856979622928966
"three";567;0.000856979622928966
"night";562;0.000849422483396964
"few";560;0.000846399627584164
"since";558;0.000843376771771363
"look";546;0.00082523963689456
"game";536;0.000810125357830557
"why";532;0.000804079646204956
"use";526;0.000795011078766554
"better";523;0.000790476795047353
"always";521;0.000787453939234552
"place";520;0.000785942511328152
"each";513;0.00077536251598335
"own";512;0.00077385108807695
"it’s";511;0.00077233966017055
